formula,frac_N,frac_O,frac_Ti,frac_V,frac_Zr,frac_Nb,frac_Hf,mendeleev_no,electrical_resistivity,velocity_of_sound,reflectivity,poissons_ratio,molar_volume,thermal_conductivity,boiling_point,melting_point,critical_temperature,superconduction_temperature,liquid_range,bulk_modulus,youngs_modulus,brinell_hardness,rigidity_modulus,vickers_hardness,density_of_solid,atomic_radius_calculated,van_der_waals_radius,coefficient_of_linear_thermal_expansion,enthalpy,entropy,delta,Tm,x_e,x_ch,potential_energy,deltaG,omega,VEC,YM(GPa),H(GPa)
Hf3.25 Zr17.83 Ti23.57 Nb4.1 V2.97 N48.27,0.482748275,0,0.235723572,0.02970297,0.178317832,0.0410041,0.03250325,74.43664366,0.48274847,2190.522772,2.782178218,0.658225823,12.67257326,13.18228637,2184.915764,1126.493084,61.44008401,1.229655966,1058.422679,41.88918892,50.5949595,389.2554255,20.66836684,520.140214,3189.424842,1.252134213,1.866641664,0.482752059,-202.3125138,11.19503804,0.382618882,1126.493084,1.209296096,0.407129359,1.616425455,-3560.823926,0.062334913,4.553455346,317.13272,33.11
Hf3.77 Zr18.16 Ti23.6 Nb4.58 V3.07 N45.78 O1.04,0.4578,0.0104,0.236,0.0307,0.1816,0.0458,0.0377,73.735,0.468200199,2235.99708,2.842,0.649092,12.694354,13.67290141,2253.344488,1161.39931,59.914,1.2676316,1091.945178,43.4548,51.8722,404.5626,21.1593,539.4606,3328.3878,1.272413,1.87579,0.468203879,214.4411014,11.86882988,0.378999471,1161.39931,1.19785667,2.058734539,3.256591209,-3346.207864,0.064280825,4.5551,331.546618,33.64
Hf4.17 Zr17.75 Ti22.79 Nb5.31 V2.97 N47.01,0.4701,0,0.2279,0.0297,0.1775,0.0531,0.0417,73.8335,0.470100196,2220.56836,2.782,0.651036,12.661185,13.85564268,2257.773836,1165.074005,59.85652,1.3264276,1092.699831,44.0826,51.6062,407.6447,21.0199,543.9512,3374.8789,1.272671,1.875577,0.470103855,-201.5174912,11.56989813,0.379125476,1165.074005,1.198254921,0.407227821,1.605482742,-3672.48693,0.066891402,4.5529,339.6859546,37.14
Hf4.57 Zr17.68 Ti22.25 Nb5.95 V3.08 N46.47,0.4647,0,0.2225,0.0308,0.1768,0.0595,0.0457,73.5824,0.464700196,2233.07892,2.848,0.648117,12.653023,14.1923032,2290.515492,1182.787835,59.18044,1.3840926,1107.727657,45.1865,52.0516,415.5191,21.1687,554.2545,3460.787,1.281574,1.879401,0.464703884,-200.9452686,11.7479848,0.377555132,1182.787835,1.193291729,0.407097584,1.600389313,-3725.340708,0.069150041,4.555,361.7081477,27.63
Hf4.88 Zr16.91 Ti20.42 Nb6.41 V2.66 N47.33 O1.39,0.4733,0.0139,0.2042,0.0266,0.1691,0.0641,0.0488,74.7077,0.487200187,2141.52613,2.596,0.663576,12.764643,13.8026948,2213.972968,1143.435885,62.3922,1.4148424,1070.537083,43.6393,49.6149,403.4518,20.2023,538.4633,3383.2177,1.253366,1.866322,0.487203699,351.9097258,12.12554636,0.38627773,1143.435885,1.220860162,2.0808632,3.301723362,-3285.754183,0.039398698,4.5918,395.1371301,33.39
Hf5.55 Zr17.27 Ti20.48 Nb7.46 V3.1 N46.13,0.461346135,0,0.204820482,0.0310031,0.172717272,0.074607461,0.055505551,73.44724472,0.461346328,2226.267307,2.860186019,0.647463746,12.65935194,14.75699108,2332.555024,1206.133978,58.76053605,1.513272327,1126.421045,46.91369137,52.09690969,428.119512,21.13051305,570.7424742,3615.743174,1.290825083,1.883015302,0.461350013,-200.3108102,12.02934598,0.377075739,1206.133978,1.191776569,0.407009664,1.598786232,-3809.114604,0.072432451,4.566956696,371.7968365,38.71
Hf6.18 Zr17 Ti19.72 Nb8.31 V2.98 N44.69 O1.13,0.446855314,0.01129887,0.197180282,0.02979702,0.169983002,0.083091691,0.061793821,73.31466853,0.458154377,2225.952995,2.787821218,0.646171383,12.7060324,15.09133465,2361.24082,1221.64852,58.68179182,1.578127587,1139.5923,48.00839916,52.24847515,437.0456954,21.15528447,582.3683632,3712.540346,1.296870313,1.885532447,0.458158071,251.7959401,12.59980231,0.377130122,1221.64852,1.191948451,2.077437041,3.269385492,-3528.144753,0.061130969,4.582341766,347.0825298,33.91
Hf6.87 Zr16.47 Ti18.9 Nb9.44 V3.1 N44.54 O0.69,0.445355464,0.00689931,0.188981102,0.0309969,0.164683532,0.094390561,0.068693131,73.05109489,0.452254965,2235.531637,2.859814019,0.643362664,12.67288671,15.59492859,2401.469777,1245.10188,57.81823818,1.677592841,1156.367897,49.9670033,52.80921908,448.5228477,21.30646935,597.4346565,3837.068293,1.307345265,1.88990301,0.452258693,78.22776862,12.6456248,0.374932478,1245.10188,1.185002631,2.051943008,3.236945639,-3715.459672,0.201272406,4.584541546,320.570086,24.72
Hf7.39 Zr15.74 Ti17.58 Nb10.47 V3.01 N45.81,0.4581,0,0.1758,0.0301,0.1574,0.1047,0.0739,73.3579,0.458100186,2202.80516,2.806,0.648232,12.657483,15.78623272,2394.617716,1243.884905,58.35412,1.7649082,1150.732811,50.6975,52.1646,450.2329,20.9978,600.2871,3882.4191,1.302677,1.887345,0.458103862,-198.811269,12.37603547,0.376708279,1243.884905,1.190615184,0.405998924,1.596614108,-3911.621911,0.077432048,4.5929,352.6189208,33.98
Hf7.81 Zr14.66 Ti15.89 Nb11.11 V2.8 N46.74 O1,0.467353265,0.009999,0.158884112,0.0279972,0.146585341,0.111088891,0.078092191,74.33516648,0.477352441,2123.20232,2.679832017,0.661722828,12.73278772,15.54208453,2330.13655,1212.653605,61.04847515,1.819075892,1117.482946,50.0559944,50.21487851,441.6192381,20.18558144,588.6233377,3833.486951,1.278382162,1.8760004,0.477355974,200.6039063,12.62665395,0.384093688,1212.653605,1.213957332,2.066429563,3.280386896,-3587.39228,0.076328311,4.626437356,378.2302901,27.14
